49m     Normal    Starting                       node/ip-172-31-19-104.us-west-2.compute.internal   
30m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-vgfnn                     Readiness probe failed: Get "http://10.244.5.2:8000/health": dial tcp 10.244.5.2:8000: connect: connection refused
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-v4zcr                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.829s (6.829s including waiting). Image size: 64753325 bytes.
30m     Normal    Started                        pod/llm-proxy-7dc458997b-v4zcr                     Container started
30m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-v4zcr                     Readiness probe failed: Get "http://10.244.1.3:8000/health": dial tcp 10.244.1.3:8000: connect: connection refused
30m     Normal    Created                        pod/llm-proxy-7dc458997b-v4zcr                     Container created
9m46s   Normal    Killing                        pod/llm-proxy-7dc458997b-z7s5f                     Stopping container llama-server
9m46s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-z7s5f
9m46s   Normal    Killing                        pod/llm-proxy-7dc458997b-z7s5f                     Stopping container fastapi-proxy
9m46s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 6 to 5
9m46s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 5; reason: All metrics below target
9m21s   Warning   Unhealthy                      pod/llm-proxy-7dc458997b-z7s5f                     Readiness probe failed: Get "http://10.244.4.2:8000/health": dial tcp 10.244.4.2:8000: connect: connection refused
5m45s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 5 to 4
5m45s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 4; reason: All metrics below target
5m45s   Normal    Killing                        pod/llm-proxy-7dc458997b-vgfnn                     Stopping container llama-server
5m45s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-vgfnn
5m45s   Normal    Killing                        pod/llm-proxy-7dc458997b-vgfnn                     Stopping container fastapi-proxy
3m30s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-v4zcr
3m30s   Normal    Killing                        pod/llm-proxy-7dc458997b-v4zcr                     Stopping container llama-server
3m30s   Normal    Killing                        pod/llm-proxy-7dc458997b-v4zcr                     Stopping container fastapi-proxy
3m30s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 2; reason: All metrics below target
3m30s   Normal    Killing                        pod/llm-proxy-7dc458997b-75wvz                     Stopping container llama-server
3m30s   Normal    Killing                        pod/llm-proxy-7dc458997b-75wvz                     Stopping container fastapi-proxy
3m30s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-75wvz
3m30s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 4 to 2
3m15s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 1; reason: All metrics below target
3m15s   Normal    Killing                        pod/llm-proxy-7dc458997b-dgjwp                     Stopping container fastapi-proxy
3m15s   Normal    Killing                        pod/llm-proxy-7dc458997b-dgjwp                     Stopping container llama-server
3m15s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-dgjwp
3m15s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 2 to 1
